"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47"
"Aepyprymnus_rufescens",-0.0560746721734786,0.0100618477705741,-0.0172200892886218,0.0588060337061968,0.0303112465888208,0.00826227652369328,-0.00145362921192775,0.00725231049433348,-0.00157203224624522,0.0323990099316854,-0.00897569499164988,0.00289904241494834,-0.00611646716833959,0.00123629343137584,-0.00480150550511895,0.00253339601015097,-0.00119523344911514,-0.00534775795854622,0.00286274996830542,0.00606206915570258,-0.00553565884814851,0.000359140165567205,0.00234386526746281,-0.00410799563943738,-0.00105501122365678,-0.000541035799442683,0.00364449119355124,0.00160498392840908,0.000835142955891448,0.00129354695305767,-0.00419868871704264,-0.00162122392160738,-0.000238713493848281,0.000261671852698919,0.000702751482408315,0.00107692391234334,1.26611017272861e-05,0.000418844957656623,8.9914998512629e-05,0.000879132787104677,0.000191598083988768,0.000433058763134255,-0.000937731250008914,-0.000197406018621515,-0.000135705064700332,-0.000400546117440391,-0.000684713563964944
"Balbaroo_fangaroo",-0.0504764451440569,-0.0770458025025467,0.020142199001845,-0.00804059769981768,-0.0134306183253504,0.0113598878504674,0.0210461669402456,-0.0319470177778153,0.000372627303144989,-0.00782300862977139,0.00209309300168312,-0.00312101356896975,0.00284210463569315,-0.00942052032682152,-0.0110914843247038,-0.00294516463620311,-0.000221540356613019,-0.00635796799715937,-0.00893043994555482,0.00708397295714272,0.00102736291603601,-0.00651370838169675,-3.50087674290043e-05,0.000985938661102134,-0.00623028623866944,0.000814277642039055,0.00188466740700929,-0.00271268752960396,0.00246564544321711,0.00224178869291048,-0.00205858645129396,0.000886927888516057,-0.000358373454788367,-0.00116908592535065,-7.09550580652852e-05,0.00050836698230946,-0.00145501531146003,0.00032632696128036,-0.000141411372245646,-3.88335954561271e-05,-9.79981637188943e-05,-0.000917795594788391,-0.00075578452567355,0.000138931399284457,0.000770131555489918,0.000180862788555125,-0.000216840326192908
"Balbaroo_nalima",-0.018649418084701,-0.0626235901874349,-0.013860898622728,-0.0229802247257684,0.0241233822434719,0.0234735199335773,-0.0127393090680842,0.00632277127754068,-0.0039637864484904,-0.00785987162284272,0.00692922022481706,0.00160848679040049,-0.00685097113700151,0.00921615295955155,0.0140081420281917,-0.00221207058731561,-0.00756788809318114,0.00777291109608521,-0.000140639769476925,-0.000772714573821948,-0.00143269976764241,-0.00138325580483465,0.00556263829054141,-0.00270901065059752,0.00605905337357236,0.00580037189753369,-0.00403552983612998,-0.00386019319813774,-0.000203738403389131,0.00237892104848607,-0.00223136222981552,-0.00178393019037165,0.00130599951551631,0.00238902053977093,-0.00100448802575128,-0.00115000094423332,-0.000550025328677434,-5.57703958011327e-05,0.000237474556760303,-0.000231165684705071,-0.000287352376314591,-0.000664923649848371,-0.000292212179598154,-0.00109243392686443,0.000226899410775229,-0.000356740673163372,-0.000355375442013672
"Bettongia_gaimardi",-0.091906223842542,0.017156985869701,-0.0109007260595109,-0.00835480840583164,0.027688912524694,0.00668629696303328,-0.0016670064189465,-0.0195369373401848,-0.00492856070601308,-0.00641357758010937,0.00763163424774289,-0.0163016247909373,-0.00469856959235125,0.00648671512511099,0.00746950873052145,-0.00834513946371037,-0.00820129905748722,0.00364330678755565,-0.00162885298520414,0.00473332956110738,-0.000253035612449975,3.9458714707469e-07,0.00130656541973334,0.000158042221779432,0.000107846288972754,-0.000681926122553254,-0.00243480114672981,0.000391738806478094,0.00330329162882133,-0.00371520611578489,0.00218102795479954,0.000108432471577824,-0.00417909016979926,-0.00096554550837641,0.000548124657708456,0.00015255068624177,0.00126115998765091,-8.57656579309389e-05,0.00125065949912133,0.00229128236346754,-6.96734812436967e-05,0.00186757965741444,-0.000136913639208975,0.000950223115798035,-8.61013570598859e-06,0.000366098642551816,9.40794939565523e-05
"Bettongia_l_graii",-0.0680105980957612,0.024843674233302,-0.00838067726097602,0.027899144200387,0.0024668923617996,0.00227212289109025,0.00182545111265201,0.0189504165299168,0.00188106775218862,0.00451169717132278,-0.00688966584957097,-0.0219966456851419,0.0205087041929552,0.00391668366724209,-0.00772345655181167,0.0014871911851026,-0.00271877892384505,0.0102151048256994,-0.00131263932105518,-0.00244963751138055,0.00155377579126013,-0.00651380658021609,0.00465879813390744,0.00509404265498768,-0.000755183357190923,0.00411030839927138,0.000533567595413334,-0.00410085805648095,0.00141106870532512,-0.000211122249366534,-0.00191989199531852,0.00117495665237528,-1.84258147668954e-05,0.00127992800825384,-0.00125471227627788,0.000643892678560693,-3.00890595077092e-05,0.000846370552317923,-0.000145582950488905,-0.000831333783705708,0.00164528561058049,-0.000629724688350507,0.000993753158793993,0.000163706748409449,0.000173273195993452,0.000429840593192807,0.000568572301245687
"Bettongia_p_ogilbyi",-0.0820711300244584,0.0299886687884396,-0.00545961738590691,-0.0217723193976568,0.0321322048918311,-0.00612190298012889,0.0145881292690101,0.00894652223514508,0.00887883896498494,-0.00982556201301822,-0.00684954686057425,-0.00469902043827665,0.0134137496818435,0.00455801317403047,-0.0115143913886449,-0.00359971389577933,-0.000814799452006605,0.00171859076637672,-0.00111438920821579,-0.00612043267799778,0.000517010722086439,0.00988954421455242,0.000592654995968218,-0.00143838233374381,-0.00107653640833384,-0.00103031636506317,0.000696903907079555,0.00159309078053697,-0.00199268848038775,0.00254845207907596,0.00321823723922814,8.42441966238379e-05,0.00145701057621768,-0.0012294148140367,-0.00290056453381052,0.000331301948519561,-0.00157411159818272,-0.000767475221142014,0.000103940094568628,-0.00114663937594607,-0.00153490144611496,0.000907237569446556,-0.00114191928293147,-0.000214286137250124,0.000246466509657746,9.10568120296654e-05,-0.000539209156212263
"Dendrolagus_goodellowi",-0.00855986994306589,-0.0396994923327386,0.00856650821505804,0.00857507547485162,-0.00122315749487541,-0.0466206529786585,0.0101743169268065,0.0172059880622865,-1.8541594871587e-05,-0.00762243425886687,0.00696259045272695,-0.00761169654531736,-0.0108065586584975,-0.0107858539926182,-0.00496722292846761,0.00794212003257173,0.00210642058848223,-0.0040365035471177,0.00857233314415219,-0.00493806748253493,0.000598841033536259,0.00354855252136132,0.00517884024745445,-0.00413420500245367,0.00186792438109224,-0.00144552361003035,-0.00173507570214688,-0.00442592766229337,0.00386281978990933,-0.00116902166192507,-0.00300814106650207,0.000353503234543618,-0.00365661089737158,-0.00144864391568177,-0.000964108466096059,0.000899420285778717,0.000356498298414596,-0.00145810010292122,0.000305055863615542,-0.000685664115939502,-0.00117239962275433,0.000449159807673141,0.000857621289718823,6.53821062050505e-05,-6.04810576769319e-06,-0.000362304114292227,3.79302004045096e-05
"Dendrolagus_lumholtzi",-0.0507219545946541,0.00818177033811372,0.0216334591253328,0.0315045070346492,-0.0212545101307452,-0.0112023403048139,0.00131424790681376,-0.0197177163644749,0.0168105613918497,0.00174318199008748,0.00918966228982679,-0.0245834558968243,-0.0127302879527893,0.00531797234452575,-0.000492793468772031,-0.0094422721151338,0.00175430720875172,-0.00465506968166274,7.44191209969712e-05,-0.0133195538177102,-0.00188102025258615,-0.000528026091213066,0.0017864868606304,-0.00104612371823971,0.00324124886116678,-0.00250582174135917,0.000552082953214927,0.00198088183455621,-0.00431059203796657,0.00211794272438013,0.000381617219523247,-0.00290804533005355,0.00152669946969112,0.000156050954424016,0.00184771331133122,-0.00250557401793064,0.000784432721180497,-0.000165349388931027,0.000257068423722001,-0.000431243305528368,0.000143908116102905,-0.00126238685158671,3.56149454035719e-05,-1.61607349988668e-05,6.95761017943049e-05,0.000151883219000481,1.31882766647493e-05
"Dendrolagus_matschiei",-0.00731779145246699,-0.00872981922937377,0.0372526536654624,0.0195164507923547,0.00606800597177501,-0.0299628696259482,-0.000658708751948981,0.00646568324421846,-0.00725371430183379,0.000765184642788589,0.006369201689502,-0.00278755916610925,0.0028293777626971,-0.00957697684572052,-0.00273687255533587,0.00259307238634831,0.00109365700339634,-0.00247364554635128,-0.00430623467669509,0.00682312624009704,-0.00406893361033345,0.00266799253292714,-0.00403110158745396,-0.00236543570952335,0.00642421520137518,-0.00187115242106262,-0.00884868685552874,-0.00191531672835544,-0.00198925931213816,0.00171255936084806,0.00299268133310975,0.00091898573847841,0.00280222003855104,0.00167765098976957,-0.000809440608972851,0.000426405567941338,-0.00176042680076184,0.00170173452074035,-0.000698210889533457,0.00169962035065649,0.0013521429418308,-6.48127862385376e-05,-0.000421221722648919,0.000653646920516017,-0.000466050874413125,1.2289043515229e-05,3.6289977871401e-05
"Ganguroo_bilamina",-0.0403032237075715,-0.0100305878859364,0.0135121700402848,-0.0147366392305274,0.00815059768419394,-0.0285879350715675,-0.00908843859770332,-0.00121239001981712,-0.00155474151677773,-0.00887380187068346,-0.018462530289219,0.013938369388548,0.00950594236059043,0.001928208500923,0.0014484956323695,-0.00485942841912561,0.00196392163582008,-0.00853221986351358,-0.0084894802554103,-0.0044873545928675,-0.00682949425798185,-0.00353913513740028,0.000601253517928743,0.00353114959751213,0.00740589603437865,0.00127877700589592,0.00247568562710826,0.00507190046511353,0.00131735957345541,-0.0017701770066592,-0.00282535437512775,0.00274522696672304,-0.00115564708955363,-0.00203844228434717,-0.000926829682687024,-0.00189205154502131,0.000815928774087871,-0.000121820587415914,0.00108288620493971,0.000567175042709201,0.00118788589697617,-0.000312260111716348,-0.000246201117363805,-0.000770193102149376,-0.00064573100215782,-0.000408341670761405,0.000185794668165452
