Species	Diet	Movement	Adapted	Clade	Facial_tilt	Bodymass_g	Number
Aepyprymnus_rufescens	omnivore	regular_hopper	omnivore	Potorine	121.2525433	2300	1
Balbaroo_fangaroo	fossil	fossil	fossil	Balbaridae	111.3707163	6063	2
Balbaroo_nalima	fossil	fossil	fossil	Balbaridae	110.8258867	8870	3
Bettongia_gaimardi	omnivore	regular_hopper	omnivore	Potorine	x	1660	4
Bettongia_l_graii	omnivore	regular_hopper	omnivore	Potorine	124.4014347	1280	5
Bettongia_p_ogilbyi	omnivore	regular_hopper	omnivore	Potorine	123.4688346	1181	6
Dendrolagus_goodellowi	browser	rare_or_non_hopper	browser	Macropodine	123.2729194	7400	7
Dendrolagus_lumholtzi	browser	rare_or_non_hopper	browser	Macropodine	123.5192419	7025	8
Dendrolagus_matschiei	browser	rare_or_non_hopper	browser	Macropodine	118.8436484	7200	9
Ganguroo_bilamina	fossil	fossil	fossil	Basal_Macropodine	x	1190	10
Ganguroo_robustiter	fossil	fossil	fossil	Basal_Macropodine	111.9500395	2113	11
Hypsiprymnodon_moschatus	omnivore	rare_or_non_hopper	omnivore	Hypsiprmynodontidae	128.9001753	532	12
Lagorchestes_c_conspicillatus	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	120.5052664	3175	13
Lagorchestes_h_hirsutus	mixed_feeder	regular_hopper	mixed_graze	Macropodine	125.8647567	1446	14
Lagostrophus_fasciatus	mixed_feeder	regular_hopper	mixed_browse	Lagorstrophine	119.7148415	1650	15
Macropus_agilis	grazer	specialized_hopper	grazer	Macropodine	110.7393645	16750	16
Macropus_dorsalis	grazer	specialized_hopper	grazer	Macropodine	115.6388408	10625	17
Macropus_eugenii	mixed_feeder	specialized_hopper	mixed_feeder	Macropodine	113.7977945	6500	18
Macropus_giganteus	grazer	specialized_hopper	grazer	Macropodine	x	40750	19
Macropus_irma	mixed_feeder	specialized_hopper	mixed_feeder	Macropodine	118.3926121	8000	20
Macropus_parma	mixed_feeder	specialized_hopper	mixed_graze	Macropodine	x	4500	21
Macropus_parryi	grazer	specialized_hopper	grazer	Macropodine	115.3120194	15500	22
Macropus_robustus	grazer	specialized_hopper	grazer	Macropodine	121.7446585	25375	23
Macropus_rufogriseus	mixed_feeder	specialized_hopper	mixed_graze	Macropodine	119.8991119	16550	24
Macropus_rufus	grazer	specialized_hopper	mixed_graze	Macropodine	x	42500	25
Nambaroo_gillespieae	fossil	fossil	fossil	Balbaridae	113.4090368	7976	26
Onychogalea_fraenata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	111.3133991	5750	27
Onychogalea_unguifera	mixed_feeder	regular_hopper	mixed_browse	Macropodine	118.5197751	6625	28
Petrogale_assimilis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	117.9602867	4500	29
Petrogale_brachyotis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	126.4006503	3925	30
Petrogale_burbigei	mixed_feeder	regular_hopper	mixed_graze	Macropodine	123.6827769	1195	31
Petrogale_herberti	mixed_feeder	regular_hopper	mixed_graze	Macropodine	121.4451754	5075	32
Petrogale_inornata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	120.0173612	4275	33
Petrogale_l_lateralis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	122.0625637	4125	34
Petrogale_penicillata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	123.1846898	7375	35
Petrogale_persephone	mixed_feeder	regular_hopper	mixed_graze	Macropodine	122.5226088	6525	36
Petrogale_purpureicollis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	132.1716315	4700	37
Petrogale_rothschildi	mixed_feeder	regular_hopper	mixed_graze	Macropodine	126.5487728	5150	38
Petrogale_xanthorpus_celeris	mixed_feeder	regular_hopper	mixed_graze	Macropodine	121.0527106	9000	39
Potorous_gilbertii	omnivore	regular_hopper	omnivore	Potorine	127.6148939	989.5	40
Potorous_tridactylus	omnivore	regular_hopper	omnivore	Potorine	126.9222914	1097.5	41
Rhizosthenurus_flanneryi	fossil	fossil	fossil	Sthenurine	112.0041916	11533	42
Setonix_brachyurus	browser	regular_hopper	browser	Macropodine	121.1701095	3000	43
Thylogale_billardierii	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	x	7050	44
Thylogale_stigmatica	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	118.5898058	4300	45
Thylogale_thetis	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	120.8045197	4425	46
Wallabia_bicolor	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	121.219801	14625	47
Wanburoo_hilarus	fossil	fossil	fossil	Sthenurine	117.1565444	8093	48
