Species	Diet	Movement	Adapted	Clade	Bodymass_g	Number
Aepyprymnus_rufescens	omnivore	regular_hopper	omnivore	Potorine	2300	1
Bettongia_gaimardi	omnivore	regular_hopper	omnivore	Potorine	1660	4
Bettongia_l_lesuer	omnivore	regular_hopper	omnivore	Potorine	1280	5
Bettongia_p_ogilbyi	omnivore	regular_hopper	omnivore	Potorine	1181	6
Dendrolagus_goodellowi	browser	rare_or_non_hopper	browser	Macropodine	7400	7
Dendrolagus_lumholtzi	browser	rare_or_non_hopper	browser	Macropodine	7025	8
Dendrolagus_matschiei	browser	rare_or_non_hopper	browser	Macropodine	7200	9
Hypsiprymnodon_moschatus	omnivore	rare_or_non_hopper	omnivore	Hypsiprmynodontidae	532	12
Lagorchestes_c_conspicillatus	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	3175	13
Lagorchestes_h_hirsutus	mixed_feeder	regular_hopper	mixed_graze	Macropodine	1446	14
Lagostrophus_fasciatus	mixed_feeder	regular_hopper	mixed_browse	Lagorstrophine	1650	15
Macropus_agilis	grazer	specialized_hopper	grazer	Macropodine	16750	16
Macropus_dorsalis	grazer	specialized_hopper	grazer	Macropodine	10625	17
Macropus_eugenii	mixed_feeder	specialized_hopper	mixed_feeder	Macropodine	6500	18
Macropus_giganteus	grazer	specialized_hopper	grazer	Macropodine	40750	19
Macropus_irma	mixed_feeder	specialized_hopper	mixed_feeder	Macropodine	8000	20
Macropus_parma	mixed_feeder	specialized_hopper	mixed_graze	Macropodine	4500	21
Macropus_parryi	grazer	specialized_hopper	grazer	Macropodine	15500	22
Macropus_robustus	grazer	specialized_hopper	grazer	Macropodine	25375	23
Macropus_rufogriseus	mixed_feeder	specialized_hopper	mixed_graze	Macropodine	16550	24
Macropus_rufus	grazer	specialized_hopper	mixed_graze	Macropodine	42500	25
Onychogalea_fraenata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	5750	27
Onychogalea_lunata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	3500	28
Onychogalea_unguifera	mixed_feeder	regular_hopper	mixed_browse	Macropodine	6625	29
Petrogale_assimilis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	4500	30
Petrogale_brachyotis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	3925	31
Petrogale_burbigei	mixed_feeder	regular_hopper	mixed_graze	Macropodine	1195	32
Petrogale_herberti	mixed_feeder	regular_hopper	mixed_graze	Macropodine	5075	33
Petrogale_inornata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	4275	34
Petrogale_penicillata	mixed_feeder	regular_hopper	mixed_graze	Macropodine	7375	35
Petrogale_persephone	mixed_feeder	regular_hopper	mixed_graze	Macropodine	6525	36
Petrogale_purpureicollis	mixed_feeder	regular_hopper	mixed_graze	Macropodine	4700	37
Petrogale_rothschildi	mixed_feeder	regular_hopper	mixed_graze	Macropodine	5150	38
Potorous_gilbertii	omnivore	regular_hopper	omnivore	Potorine	989.5	39
Potorous_tridactylus	omnivore	regular_hopper	omnivore	Potorine	1097.5	40
Setonix_brachyurus	browser	regular_hopper	browser	Macropodine	3000	42
Thylogale_billardierii	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	7050	43
Thylogale_stigmatica	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	4300	44
Wallabia_bicolor	mixed_feeder	regular_hopper	mixed_feeder	Macropodine	14625	45
